harvest_age_hrs,crop_type,distance_km,ambient_temp_c,humidity_pct,rainfall_48h_mm,travel_time_hrs,region,season_month,farmer_experience,bin_quality,vehicle_type,risk_score,risk_label
6.2,tomato,22.56,29.48,57.01,6.73,0.73,maharashtra_1,5,expert,poor,refrigerated,39.21,RISKY
866.92,onion,4.73,24.8,67.09,3.58,0.5,maharashtra_1,11,moderate,good,refrigerated,39.98,RISKY
39.79,tomato,5.91,28.81,51.89,12.07,1.1,maharashtra_2,1,novice,poor,open,99.58,CRITICAL
534.78,onion,9.95,36.15,40.0,1.42,1.01,maharashtra_2,3,expert,fair,covered,51.16,RISKY
522.02,onion,32.01,28.02,61.19,8.69,1.06,maharashtra_1,4,moderate,poor,refrigerated,54.24,RISKY
38.7,tomato,27.42,27.03,70.61,10.91,1.39,maharashtra_3,7,expert,good,covered,61.91,RISKY
160.78,onion,8.42,23.84,80.98,2.92,0.5,maharashtra_2,8,expert,good,open,32.43,SAFE
841.17,onion,7.98,22.74,80.13,2.76,0.5,maharashtra_3,12,novice,fair,refrigerated,49.52,RISKY
130.24,onion,8.35,27.26,62.04,2.29,0.5,maharashtra_3,7,moderate,good,open,30.34,SAFE
494.78,potato,33.02,35.41,40.0,0.61,0.55,maharashtra_2,10,moderate,good,open,32.1,SAFE
58.65,leafy_greens,2.46,29.41,54.97,2.22,0.51,maharashtra_1,8,expert,poor,covered,81.56,CRITICAL
37.4,leafy_greens,12.35,32.31,43.77,4.1,0.5,maharashtra_2,1,novice,fair,covered,100.0,CRITICAL
68.93,tomato,5.83,31.22,50.3,0.28,0.5,maharashtra_2,8,expert,poor,covered,90.33,CRITICAL
2708.58,potato,4.81,27.32,64.08,2.54,0.59,maharashtra_3,3,novice,fair,open,76.4,CRITICAL
63.25,leafy_greens,12.58,35.06,40.0,1.38,0.55,maharashtra_2,8,moderate,fair,covered,100.0,CRITICAL
19.34,tomato,15.58,22.11,74.68,7.96,0.81,maharashtra_2,3,expert,poor,open,38.49,RISKY
48.61,leafy_greens,26.11,29.49,54.31,20.09,1.27,maharashtra_1,10,expert,fair,covered,83.57,CRITICAL
1296.0,onion,22.65,25.68,68.04,1.45,1.01,maharashtra_2,4,moderate,poor,refrigerated,57.51,RISKY
695.39,onion,35.65,31.74,47.34,5.71,1.63,maharashtra_1,6,expert,poor,covered,72.15,CRITICAL
61.51,tomato,11.16,32.22,60.87,2.0,0.99,maharashtra_2,12,novice,fair,covered,95.23,CRITICAL
7.59,tomato,46.14,32.49,48.94,2.84,0.59,maharashtra_1,10,novice,good,refrigerated,48.9,RISKY
48.97,leafy_greens,16.0,32.78,44.11,7.79,0.5,maharashtra_1,10,expert,good,open,77.04,CRITICAL
708.99,onion,22.45,23.92,76.31,0.36,0.5,maharashtra_1,11,moderate,good,refrigerated,36.58,RISKY
394.31,onion,10.14,27.18,62.3,3.0,0.6,maharashtra_1,12,novice,good,open,53.33,RISKY
42.14,tomato,9.6,32.05,47.2,12.63,0.5,maharashtra_1,7,expert,fair,open,78.19,CRITICAL
299.42,onion,3.63,18.0,88.16,0.95,0.5,maharashtra_2,6,expert,fair,covered,25.18,SAFE
97.04,tomato,2.3,28.3,59.46,21.15,0.5,maharashtra_1,11,novice,good,refrigerated,59.1,RISKY
28.88,tomato,21.97,30.97,53.74,7.24,1.31,maharashtra_2,6,moderate,fair,covered,72.98,CRITICAL
29.66,leafy_greens,10.59,32.84,45.98,0.45,0.5,maharashtra_2,1,expert,good,open,72.64,CRITICAL
241.1,onion,17.54,38.48,40.0,3.53,0.5,maharashtra_2,4,moderate,good,covered,40.9,RISKY
78.9,leafy_greens,5.47,38.48,40.0,0.58,0.5,maharashtra_2,2,moderate,fair,open,100.0,CRITICAL
7.99,leafy_greens,7.11,29.74,62.48,16.71,0.5,maharashtra_1,11,moderate,good,refrigerated,30.36,SAFE
790.3,onion,30.1,26.56,76.81,8.66,2.03,maharashtra_1,2,moderate,fair,open,71.76,CRITICAL
94.77,tomato,25.41,24.51,72.55,63.48,1.99,maharashtra_3,8,expert,good,covered,79.82,CRITICAL
118.94,tomato,67.93,33.72,44.88,16.78,2.18,maharashtra_2,7,expert,good,refrigerated,63.21,RISKY
78.78,leafy_greens,17.75,19.86,89.92,6.49,0.5,maharashtra_1,3,moderate,fair,open,86.73,CRITICAL
1824.38,potato,34.57,23.95,76.07,40.82,1.74,maharashtra_1,1,expert,good,open,50.41,RISKY
332.68,onion,22.07,37.81,40.0,1.02,0.5,maharashtra_2,11,novice,fair,open,49.48,RISKY
15.65,tomato,6.5,26.69,65.2,2.75,0.5,maharashtra_3,12,moderate,good,open,51.16,RISKY
312.15,onion,24.68,26.2,63.91,6.46,0.9,maharashtra_1,8,expert,good,open,47.48,RISKY
39.67,eggplant,16.63,20.39,79.45,12.95,0.63,maharashtra_3,3,expert,good,open,31.26,SAFE
467.79,onion,5.73,33.38,42.26,2.05,0.5,maharashtra_1,5,moderate,fair,covered,66.27,RISKY
510.54,potato,32.39,29.45,54.28,8.13,1.45,maharashtra_2,12,novice,good,refrigerated,25.29,SAFE
35.51,tomato,4.63,23.92,75.34,0.02,0.5,maharashtra_3,9,novice,good,refrigerated,31.21,SAFE
81.44,tomato,7.0,25.88,65.7,1.49,0.5,maharashtra_3,7,expert,poor,covered,78.41,CRITICAL
531.16,onion,16.55,29.2,54.61,0.07,0.6,maharashtra_2,11,novice,fair,open,77.23,CRITICAL
100.4,tomato,3.62,32.36,53.76,1.06,0.5,maharashtra_2,1,novice,poor,refrigerated,82.39,CRITICAL
6.87,tomato,21.33,29.73,51.9,3.76,0.85,maharashtra_2,8,moderate,fair,covered,55.86,RISKY
966.7,potato,23.47,23.64,75.7,50.73,1.56,maharashtra_3,4,moderate,poor,open,56.95,RISKY
29.67,tomato,7.92,30.14,47.31,0.49,1.18,maharashtra_2,8,moderate,good,open,79.06,CRITICAL
108.29,eggplant,4.37,32.65,42.49,13.17,0.5,maharashtra_2,4,expert,good,open,53.01,RISKY
19.56,tomato,19.54,27.16,60.67,2.21,0.77,maharashtra_1,8,moderate,good,open,66.56,RISKY
83.43,eggplant,16.21,40.0,40.0,2.73,0.5,maharashtra_2,9,novice,poor,open,100.0,CRITICAL
37.05,tomato,8.16,29.27,59.8,2.07,0.5,maharashtra_1,1,moderate,good,open,60.44,RISKY
72.19,tomato,29.53,36.53,40.0,3.99,0.75,maharashtra_2,2,moderate,fair,covered,100.0,CRITICAL
6.19,leafy_greens,38.52,29.71,58.54,3.96,0.5,maharashtra_2,9,novice,good,refrigerated,35.56,RISKY
271.09,onion,10.62,31.2,47.16,2.6,0.5,maharashtra_2,11,moderate,fair,open,51.11,RISKY
21.75,leafy_greens,11.07,29.04,58.27,35.31,0.5,maharashtra_1,6,moderate,fair,covered,72.88,CRITICAL
70.08,tomato,11.65,33.53,46.57,6.08,0.5,maharashtra_2,10,novice,poor,covered,100.0,CRITICAL
28.34,tomato,3.64,29.85,64.02,1.96,0.5,maharashtra_2,1,moderate,poor,open,75.65,CRITICAL
644.66,onion,4.26,28.25,63.48,10.51,0.5,maharashtra_2,7,moderate,good,open,63.29,RISKY
29.52,leafy_greens,28.66,25.93,69.07,31.74,1.4,maharashtra_3,10,expert,good,refrigerated,50.45,RISKY
95.91,tomato,14.56,30.99,54.85,1.19,0.54,maharashtra_2,12,moderate,good,covered,79.14,CRITICAL
1194.7,onion,7.97,32.01,56.89,1.44,1.31,maharashtra_1,11,moderate,fair,open,80.2,CRITICAL
17.79,leafy_greens,31.85,40.0,40.0,8.35,2.42,maharashtra_2,9,moderate,fair,covered,100.0,CRITICAL
2409.74,potato,2.28,35.04,41.3,52.36,0.5,maharashtra_2,12,moderate,fair,open,82.74,CRITICAL
31.07,eggplant,9.66,32.65,41.75,4.83,0.5,maharashtra_2,1,novice,fair,covered,48.35,RISKY
28.42,leafy_greens,47.36,31.62,52.06,0.78,1.43,maharashtra_1,11,moderate,good,refrigerated,50.87,RISKY
66.52,leafy_greens,18.69,25.26,72.15,11.03,1.09,maharashtra_1,7,novice,fair,refrigerated,81.66,CRITICAL
6.42,tomato,13.87,29.77,48.84,2.06,0.5,maharashtra_2,5,moderate,good,covered,58.83,RISKY
72.42,tomato,3.24,32.89,43.44,8.77,0.5,maharashtra_1,10,novice,fair,open,100.0,CRITICAL
79.09,tomato,5.94,26.57,64.34,9.51,0.5,maharashtra_2,5,moderate,poor,refrigerated,64.87,RISKY
308.31,potato,2.02,22.53,65.72,73.12,0.5,maharashtra_1,10,novice,good,covered,30.3,SAFE
11.06,leafy_greens,4.05,29.51,59.38,0.11,0.5,maharashtra_1,3,moderate,poor,refrigerated,43.39,RISKY
2001.14,potato,14.54,26.41,65.91,15.52,0.5,maharashtra_1,11,moderate,good,covered,55.68,RISKY
660.11,onion,4.86,24.89,76.89,3.07,0.5,maharashtra_1,1,expert,good,open,57.55,RISKY
1784.33,potato,18.46,25.71,67.56,0.79,0.5,maharashtra_3,4,novice,good,open,65.82,RISKY
534.78,onion,5.65,32.59,53.32,1.27,0.5,maharashtra_1,1,novice,good,open,73.82,CRITICAL
26.17,tomato,19.65,35.42,46.35,5.3,1.46,maharashtra_2,2,novice,poor,covered,100.0,CRITICAL
805.85,onion,13.18,26.73,64.43,9.96,0.5,maharashtra_2,4,moderate,good,covered,61.43,RISKY
91.85,tomato,5.33,30.02,47.99,2.08,0.5,maharashtra_2,11,novice,poor,open,100.0,CRITICAL
716.77,onion,11.23,28.85,59.47,4.64,0.85,maharashtra_1,3,moderate,fair,covered,65.11,RISKY
47.32,tomato,10.97,29.28,58.99,42.82,0.5,maharashtra_3,11,novice,good,open,92.64,CRITICAL
109.65,tomato,11.3,27.69,53.03,5.33,0.5,maharashtra_2,5,novice,fair,refrigerated,65.83,RISKY
445.99,potato,16.32,29.99,58.24,0.13,1.02,maharashtra_2,5,expert,good,open,32.07,SAFE
78.26,eggplant,4.56,28.68,59.96,2.4,0.5,maharashtra_2,6,novice,good,covered,67.27,RISKY
15.56,tomato,6.48,28.84,69.13,76.7,0.6,maharashtra_3,6,expert,fair,open,55.22,RISKY
47.58,eggplant,4.7,27.0,60.75,0.72,0.74,maharashtra_3,5,expert,fair,covered,48.48,RISKY
63.81,leafy_greens,4.63,28.62,65.79,6.4,0.5,maharashtra_1,7,novice,poor,refrigerated,69.56,RISKY
66.85,leafy_greens,24.97,27.6,62.28,0.11,0.5,maharashtra_1,10,expert,fair,open,81.43,CRITICAL
545.14,potato,17.47,32.02,45.54,21.76,1.03,maharashtra_2,8,novice,poor,open,53.34,RISKY
342.58,onion,21.28,25.45,67.06,0.16,1.79,maharashtra_3,1,moderate,poor,open,62.18,RISKY
102.59,tomato,25.31,26.05,52.98,7.96,1.41,maharashtra_1,11,moderate,poor,open,100.0,CRITICAL
100.64,eggplant,17.17,30.6,54.5,5.49,1.29,maharashtra_2,11,moderate,poor,open,84.54,CRITICAL
129.6,tomato,41.81,38.7,40.0,1.86,1.31,maharashtra_2,2,moderate,fair,refrigerated,76.94,CRITICAL
82.05,leafy_greens,21.61,29.59,58.57,0.44,0.92,maharashtra_2,5,expert,poor,open,100.0,CRITICAL
40.06,tomato,23.37,29.1,65.16,13.37,0.8,maharashtra_1,12,novice,poor,refrigerated,63.93,RISKY
17.03,tomato,13.92,31.48,48.68,2.94,0.55,maharashtra_1,1,novice,good,open,65.89,RISKY
95.1,onion,4.46,28.91,54.59,2.47,0.5,maharashtra_3,10,moderate,poor,refrigerated,27.79,SAFE
538.89,onion,30.15,27.62,61.06,0.73,1.57,maharashtra_2,3,novice,good,open,66.25,RISKY
282.19,onion,4.7,29.81,61.39,0.69,0.5,maharashtra_1,2,expert,good,refrigerated,24.27,SAFE
305.45,potato,3.48,26.87,59.79,4.8,0.5,maharashtra_2,2,moderate,poor,open,30.38,SAFE
90.93,tomato,17.1,29.33,54.78,2.28,1.07,maharashtra_2,9,novice,good,covered,97.24,CRITICAL
1013.63,potato,15.67,27.72,60.24,5.15,1.13,maharashtra_1,9,expert,good,open,38.17,RISKY
184.36,onion,7.85,25.9,63.0,0.29,0.5,maharashtra_3,10,novice,good,open,45.06,RISKY
1357.99,potato,7.66,37.27,40.0,1.33,0.84,maharashtra_2,9,moderate,poor,covered,67.19,RISKY
87.44,tomato,5.18,31.32,45.32,4.02,1.14,maharashtra_2,9,expert,good,open,78.19,CRITICAL
27.01,tomato,5.87,26.47,69.47,3.55,0.5,maharashtra_1,9,novice,poor,open,78.75,CRITICAL
2344.72,potato,36.37,24.51,75.75,3.7,1.08,maharashtra_3,10,moderate,fair,open,56.52,RISKY
50.1,eggplant,2.64,29.0,58.96,39.09,0.5,maharashtra_1,5,expert,good,open,50.45,RISKY
48.29,leafy_greens,10.96,40.0,40.0,6.11,0.5,maharashtra_2,11,novice,fair,open,100.0,CRITICAL
22.02,tomato,18.53,28.26,61.3,1.65,0.83,maharashtra_3,2,novice,fair,refrigerated,44.9,RISKY
15.86,leafy_greens,22.07,29.14,55.02,0.2,0.57,maharashtra_2,2,expert,poor,covered,59.82,RISKY
1320.82,potato,16.97,38.56,40.0,14.36,0.56,maharashtra_2,5,moderate,good,refrigerated,32.12,SAFE
283.47,onion,2.04,22.13,79.15,0.82,0.5,maharashtra_3,6,moderate,fair,open,46.17,RISKY
1296.0,onion,30.88,30.06,58.7,1.73,0.53,maharashtra_2,8,novice,fair,covered,70.77,CRITICAL
34.64,leafy_greens,12.2,21.51,78.46,10.96,0.5,maharashtra_1,10,moderate,good,covered,56.88,RISKY
59.71,leafy_greens,31.8,25.06,72.71,4.83,0.5,maharashtra_3,10,moderate,fair,refrigerated,59.01,RISKY
54.55,tomato,8.74,29.33,56.53,7.34,0.5,maharashtra_1,11,moderate,good,covered,74.54,CRITICAL
758.77,potato,10.94,31.26,47.39,4.95,0.5,maharashtra_2,10,expert,poor,open,39.73,RISKY
207.64,onion,10.87,27.62,64.78,7.45,0.68,maharashtra_2,4,moderate,fair,covered,50.07,RISKY
89.24,onion,4.72,30.38,54.5,8.79,0.5,maharashtra_2,4,moderate,poor,open,32.88,SAFE
34.73,leafy_greens,15.02,31.59,45.54,71.53,0.67,maharashtra_1,5,novice,good,covered,90.84,CRITICAL
352.17,potato,36.55,34.79,40.0,5.26,1.41,maharashtra_2,9,moderate,fair,covered,39.97,RISKY
312.51,onion,8.61,29.29,59.83,14.16,0.77,maharashtra_2,6,moderate,fair,covered,43.96,RISKY
72.6,eggplant,5.48,30.13,58.88,7.89,0.5,maharashtra_1,10,expert,poor,refrigerated,53.15,RISKY
585.8,onion,4.1,33.31,43.27,0.97,0.5,maharashtra_1,4,expert,good,open,55.73,RISKY
1407.61,potato,12.14,40.0,40.0,2.79,0.5,maharashtra_2,8,expert,good,open,51.14,RISKY
2152.89,potato,3.74,26.22,65.35,6.71,0.72,maharashtra_3,4,novice,good,open,79.33,CRITICAL
37.01,leafy_greens,2.47,26.2,71.81,3.1,0.5,maharashtra_3,10,expert,fair,covered,70.98,CRITICAL
40.95,eggplant,22.08,35.43,41.3,28.0,1.24,maharashtra_2,6,expert,good,covered,45.33,RISKY
997.96,onion,19.44,40.0,40.0,3.59,0.68,maharashtra_2,4,novice,good,open,77.32,CRITICAL
9.61,tomato,6.95,25.71,72.01,12.94,0.5,maharashtra_1,12,novice,good,refrigerated,24.07,SAFE
3242.02,potato,32.25,31.9,48.36,3.04,0.5,maharashtra_1,11,novice,fair,open,90.01,CRITICAL
254.38,onion,7.02,30.67,54.67,27.62,0.5,maharashtra_1,1,moderate,poor,covered,51.62,RISKY
540.04,onion,3.3,28.55,54.07,2.54,0.5,maharashtra_1,11,expert,good,open,45.6,RISKY
44.86,leafy_greens,6.4,28.26,59.38,2.78,0.5,maharashtra_3,8,moderate,good,open,95.37,CRITICAL
34.3,tomato,12.41,23.67,62.51,9.2,0.5,maharashtra_1,10,expert,fair,covered,49.86,RISKY
42.75,leafy_greens,25.86,29.89,58.7,26.72,0.95,maharashtra_1,1,expert,poor,covered,100.0,CRITICAL
19.75,tomato,3.77,22.77,77.29,0.04,0.5,maharashtra_1,1,novice,poor,open,46.72,RISKY
906.35,onion,2.64,23.63,81.17,6.22,0.5,maharashtra_3,4,novice,poor,refrigerated,58.54,RISKY
1596.79,potato,2.27,30.94,48.46,1.28,0.55,maharashtra_1,6,expert,good,open,44.18,RISKY
629.02,potato,36.46,29.34,58.56,1.92,0.99,maharashtra_2,11,novice,good,covered,53.58,RISKY
87.95,eggplant,5.83,26.87,62.79,4.56,0.5,maharashtra_1,11,expert,good,open,59.97,RISKY
388.71,onion,20.45,21.41,75.32,2.26,0.5,maharashtra_3,11,novice,fair,covered,54.44,RISKY
1076.96,potato,11.2,36.35,40.0,6.84,0.5,maharashtra_2,3,expert,fair,open,48.94,RISKY
46.2,tomato,5.71,35.29,40.0,4.81,0.5,maharashtra_2,3,moderate,good,open,84.64,CRITICAL
59.88,eggplant,6.26,22.89,83.29,16.65,0.84,maharashtra_3,12,expert,fair,open,48.08,RISKY
74.17,tomato,6.39,29.77,48.4,0.0,1.91,maharashtra_2,9,moderate,good,open,91.15,CRITICAL
8.9,eggplant,6.34,28.52,49.59,0.82,0.6,maharashtra_3,4,novice,good,open,31.82,SAFE
49.22,tomato,19.07,25.09,62.43,2.49,0.5,maharashtra_3,4,expert,poor,open,72.73,CRITICAL
2311.81,potato,13.8,34.16,40.0,18.02,0.5,maharashtra_2,11,novice,good,open,76.3,CRITICAL
35.66,tomato,21.46,24.37,77.96,2.17,0.5,maharashtra_3,7,novice,good,open,57.39,RISKY
2355.27,potato,56.22,20.32,80.37,5.24,1.74,maharashtra_1,6,novice,good,refrigerated,32.35,SAFE
167.04,onion,35.96,24.57,74.95,2.68,0.5,maharashtra_3,8,expert,fair,open,34.14,SAFE
23.27,tomato,15.15,34.09,45.98,25.06,0.5,maharashtra_2,9,expert,poor,covered,55.14,RISKY
54.08,tomato,26.41,26.75,69.47,1.07,0.5,maharashtra_1,3,moderate,poor,open,89.15,CRITICAL
31.86,leafy_greens,4.67,34.67,44.45,0.08,0.54,maharashtra_2,2,expert,poor,covered,84.65,CRITICAL
44.65,leafy_greens,53.18,26.02,63.65,5.96,2.37,maharashtra_3,8,moderate,fair,open,100.0,CRITICAL
78.68,tomato,25.89,26.82,67.95,5.37,0.5,maharashtra_1,3,expert,poor,covered,81.18,CRITICAL
279.26,onion,43.0,31.03,50.99,0.85,0.74,maharashtra_1,5,moderate,good,open,44.26,RISKY
790.62,onion,24.78,28.14,62.95,1.18,1.29,maharashtra_3,2,expert,good,open,59.11,RISKY
61.92,eggplant,22.08,26.07,75.29,10.14,0.5,maharashtra_1,11,moderate,fair,open,61.95,RISKY
10.69,leafy_greens,3.06,29.03,66.72,0.29,0.5,maharashtra_1,3,moderate,good,covered,54.9,RISKY
3.58,leafy_greens,6.74,36.07,40.0,0.34,0.5,maharashtra_2,3,novice,fair,covered,70.02,CRITICAL
75.0,tomato,44.11,31.35,54.57,4.03,0.66,maharashtra_2,1,novice,good,open,90.09,CRITICAL
70.7,leafy_greens,6.49,30.19,51.96,17.81,1.04,maharashtra_3,8,novice,good,open,100.0,CRITICAL
792.87,potato,2.97,28.52,67.97,3.35,0.5,maharashtra_2,9,novice,good,covered,48.69,RISKY
677.75,onion,22.37,28.46,68.17,9.28,0.97,maharashtra_1,11,moderate,fair,open,78.18,CRITICAL
1020.14,potato,17.24,32.09,48.73,0.47,1.07,maharashtra_1,6,expert,fair,covered,46.14,RISKY
1172.42,onion,12.13,30.03,62.14,0.9,0.5,maharashtra_2,7,novice,poor,covered,87.68,CRITICAL
1326.95,potato,6.41,35.12,40.0,5.28,0.5,maharashtra_2,4,novice,good,covered,50.28,RISKY
166.06,eggplant,9.48,26.44,80.61,39.15,0.84,maharashtra_3,11,expert,good,open,69.15,RISKY
129.6,tomato,12.08,29.44,64.64,2.28,0.5,maharashtra_2,8,expert,fair,covered,66.75,RISKY
75.46,onion,12.99,23.75,76.76,9.92,0.5,maharashtra_1,5,expert,good,covered,23.38,SAFE
686.85,potato,5.42,30.3,56.75,0.07,0.5,maharashtra_3,6,expert,good,open,35.19,RISKY
53.52,leafy_greens,35.9,28.11,53.41,0.05,2.21,maharashtra_1,12,moderate,good,open,99.14,CRITICAL
26.74,leafy_greens,5.41,38.5,40.0,2.14,0.5,maharashtra_2,1,expert,fair,open,74.63,CRITICAL
1229.77,potato,3.04,25.31,73.77,10.33,0.5,maharashtra_3,2,novice,fair,covered,48.9,RISKY
45.55,tomato,21.6,24.57,79.02,9.22,1.27,maharashtra_3,11,novice,fair,refrigerated,58.16,RISKY
344.73,onion,24.23,25.8,68.02,2.63,0.96,maharashtra_1,9,expert,fair,open,50.66,RISKY
22.23,leafy_greens,22.79,30.08,55.74,3.19,0.73,maharashtra_2,7,expert,fair,covered,62.89,RISKY
10.32,leafy_greens,5.08,31.1,53.12,3.87,0.5,maharashtra_1,9,moderate,poor,open,82.75,CRITICAL
60.9,leafy_greens,43.97,23.25,68.13,4.24,1.65,maharashtra_3,10,moderate,fair,covered,100.0,CRITICAL
456.31,potato,3.39,23.63,81.29,0.63,0.5,maharashtra_3,7,moderate,poor,covered,30.23,SAFE
2325.21,potato,28.18,25.27,66.85,0.21,1.03,maharashtra_3,8,novice,good,open,67.57,RISKY
745.63,onion,7.74,30.82,58.05,1.67,0.5,maharashtra_2,12,novice,fair,open,86.9,CRITICAL
86.4,leafy_greens,10.76,23.95,80.8,18.17,0.61,maharashtra_3,1,novice,good,refrigerated,43.33,RISKY
875.18,potato,18.85,32.49,42.22,0.55,1.21,maharashtra_2,9,moderate,good,covered,37.15,RISKY
58.68,leafy_greens,5.43,26.23,63.63,59.42,0.5,maharashtra_3,12,novice,poor,open,100.0,CRITICAL
599.99,potato,4.5,33.65,40.0,2.63,0.5,maharashtra_3,10,moderate,fair,open,44.4,RISKY
22.06,leafy_greens,18.14,27.07,62.08,0.66,0.5,maharashtra_3,7,expert,good,open,59.92,RISKY
48.71,leafy_greens,4.05,32.63,43.01,3.32,0.5,maharashtra_2,8,expert,fair,covered,80.68,CRITICAL
118.89,tomato,3.6,30.98,50.87,4.27,0.5,maharashtra_2,2,novice,good,open,97.23,CRITICAL
24.69,tomato,2.97,24.11,75.64,8.39,0.5,maharashtra_1,4,expert,poor,open,40.42,RISKY
1278.98,potato,12.56,29.05,52.83,13.38,0.5,maharashtra_1,10,moderate,good,open,49.5,RISKY
754.36,onion,18.37,21.88,80.22,8.46,0.5,maharashtra_1,7,novice,fair,open,82.21,CRITICAL
3888.0,potato,9.83,26.42,55.91,0.4,0.5,maharashtra_1,2,moderate,fair,covered,59.55,RISKY
29.59,eggplant,30.93,28.4,60.95,10.44,1.13,maharashtra_3,5,expert,good,covered,28.73,SAFE
916.77,onion,3.37,28.95,59.12,0.58,0.5,maharashtra_3,1,novice,good,open,76.6,CRITICAL
28.49,leafy_greens,6.63,29.87,48.48,5.41,0.5,maharashtra_2,1,expert,good,covered,65.84,RISKY
2866.12,potato,43.04,37.85,40.0,3.37,0.5,maharashtra_2,1,moderate,fair,covered,73.41,CRITICAL
129.6,tomato,2.38,23.34,73.47,25.79,0.5,maharashtra_1,2,novice,poor,open,90.23,CRITICAL
129.6,tomato,14.19,30.59,54.23,1.37,0.5,maharashtra_1,8,moderate,good,open,83.39,CRITICAL
32.6,tomato,2.64,31.63,58.64,0.64,0.5,maharashtra_1,5,moderate,fair,open,63.67,RISKY
88.5,tomato,7.61,29.68,52.94,6.05,0.5,maharashtra_3,6,moderate,good,refrigerated,54.48,RISKY
16.6,tomato,8.27,35.4,40.0,0.1,0.5,maharashtra_2,5,novice,fair,open,81.7,CRITICAL
75.71,tomato,9.72,24.65,69.71,0.95,0.54,maharashtra_1,10,novice,poor,open,100.0,CRITICAL
39.0,tomato,19.19,35.1,46.55,1.48,0.5,maharashtra_2,8,novice,poor,covered,97.72,CRITICAL
2421.3,potato,7.94,33.15,44.92,1.87,0.5,maharashtra_2,5,novice,good,open,73.65,CRITICAL
26.91,tomato,3.63,33.03,40.0,55.71,0.5,maharashtra_2,12,novice,poor,covered,100.0,CRITICAL
68.43,tomato,28.02,25.81,67.1,1.35,1.36,maharashtra_2,10,expert,fair,open,80.26,CRITICAL
